Datetime,Open,High,Low,Close,Volume
2026-01-20 09:15:00+05:30,25580.05078125,25582.849609375,25432.75,25468.69921875,0
2026-01-20 10:15:00+05:30,25471.650390625,25504.0,25446.25,25449.599609375,0
2026-01-20 11:15:00+05:30,25450.599609375,25492.5,25427.44921875,25437.349609375,0
2026-01-20 12:15:00+05:30,25439.05078125,25444.44921875,25405.599609375,25415.94921875,0
2026-01-20 13:15:00+05:30,25416.30078125,25436.150390625,25347.900390625,25360.75,0
2026-01-20 14:15:00+05:30,25361.44921875,25394.099609375,25216.25,25217.05078125,0
2026-01-20 15:15:00+05:30,25215.05078125,25239.30078125,25173.80078125,25225.349609375,0
2026-01-21 09:15:00+05:30,25145.75,25277.650390625,25137.94921875,25153.25,0
2026-01-21 10:15:00+05:30,25153.80078125,25159.099609375,24920.19921875,25054.75,0
2026-01-21 11:15:00+05:30,25055.75,25136.150390625,25024.44921875,25136.150390625,0
2026-01-21 12:15:00+05:30,25135.150390625,25300.650390625,25118.5,25237.44921875,0
2026-01-21 13:15:00+05:30,25237.599609375,25242.400390625,25132.849609375,25136.69921875,0
2026-01-21 14:15:00+05:30,25137.44921875,25202.05078125,25119.849609375,25155.0,0
2026-01-21 15:15:00+05:30,25155.19921875,25171.69921875,25140.55078125,25168.099609375,0
2026-01-22 09:15:00+05:30,25344.599609375,25434.849609375,25303.30078125,25376.0,0
2026-01-22 10:15:00+05:30,25376.5,25388.55078125,25202.44921875,25215.75,0
2026-01-22 11:15:00+05:30,25215.94921875,25280.55078125,25177.849609375,25237.099609375,0
2026-01-22 12:15:00+05:30,25237.150390625,25277.5,25190.44921875,25191.94921875,0
2026-01-22 13:15:00+05:30,25192.05078125,25245.0,25169.69921875,25178.349609375,0
2026-01-22 14:15:00+05:30,25178.80078125,25318.19921875,25168.5,25288.55078125,0
2026-01-22 15:15:00+05:30,25288.44921875,25332.349609375,25287.599609375,25320.44921875,0
2026-01-23 09:15:00+05:30,25338.25,25345.349609375,25249.55078125,25281.69921875,0
2026-01-23 10:15:00+05:30,25280.55078125,25320.80078125,25251.55078125,25284.900390625,0
2026-01-23 11:15:00+05:30,25285.30078125,25289.900390625,25183.94921875,25185.19921875,0
2026-01-23 12:15:00+05:30,25185.94921875,25243.80078125,25180.55078125,25196.400390625,0
2026-01-23 13:15:00+05:30,25196.650390625,25197.349609375,25044.150390625,25063.400390625,0
2026-01-23 14:15:00+05:30,25064.05078125,25107.80078125,25028.849609375,25045.849609375,0
2026-01-23 15:15:00+05:30,25046.5,25074.5,25025.55078125,25064.75,0
2026-01-27 09:15:00+05:30,25079.0,25160.44921875,24933.05078125,25128.44921875,0
2026-01-27 10:15:00+05:30,25129.349609375,25184.0,24979.05078125,25029.400390625,0
2026-01-27 11:15:00+05:30,25029.05078125,25162.05078125,25022.099609375,25120.349609375,0
2026-01-27 12:15:00+05:30,25121.55078125,25138.19921875,25056.5,25088.94921875,0
2026-01-27 13:15:00+05:30,25089.099609375,25132.25,24998.25,25034.55078125,0
2026-01-27 14:15:00+05:30,25034.900390625,25175.349609375,25007.849609375,25170.400390625,0
2026-01-27 15:15:00+05:30,25169.25,25246.099609375,25168.05078125,25234.099609375,0
2026-01-28 09:15:00+05:30,25248.599609375,25371.400390625,25227.650390625,25248.099609375,0
2026-01-28 10:15:00+05:30,25248.30078125,25330.599609375,25234.05078125,25325.599609375,0
2026-01-28 11:15:00+05:30,25325.349609375,25351.05078125,25290.650390625,25313.80078125,0
2026-01-28 12:15:00+05:30,25313.80078125,25318.05078125,25252.05078125,25276.25,0
2026-01-28 13:15:00+05:30,25276.599609375,25291.30078125,25188.150390625,25209.05078125,0
2026-01-28 14:15:00+05:30,25208.650390625,25344.5,25201.099609375,25329.650390625,0
2026-01-28 15:15:00+05:30,25329.75,25358.400390625,25329.75,25348.05078125,0
2026-01-29 09:15:00+05:30,25346.400390625,25346.400390625,25160.05078125,25211.650390625,0
2026-01-29 10:15:00+05:30,25210.349609375,25258.94921875,25167.650390625,25257.80078125,0
2026-01-29 11:15:00+05:30,25257.94921875,25296.900390625,25240.0,25280.75,0
2026-01-29 12:15:00+05:30,25280.400390625,25367.30078125,25262.05078125,25353.650390625,0
2026-01-29 13:15:00+05:30,25353.44921875,25436.25,25328.30078125,25412.900390625,0
2026-01-29 14:15:00+05:30,25413.30078125,25457.19921875,25398.650390625,25407.599609375,0
2026-01-29 15:15:00+05:30,25407.650390625,25431.650390625,25405.099609375,25422.099609375,0
